"X.timestamp";"MetricName";"Tag_EventHandlerInstance";"Tag_EventHandlerName";"Tag_MC.TrackingId";"Tag_StreamTypeName";"Tag_Type"
"May 20, 2021 @ 09:15:05.534";"Event";"VerkoopfactuurFormaten.VerkoopfactuurFormatenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.534";"Event";"Gs.ViewProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"70835fd3b85146e28b792043e0c1810c";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.533";"Event";"Klacht.KlachtProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.532";"Event";"Calculations.GbrtnsMtExtrnBrknngBCalculationsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.532";"Event";"Verkooporder.VerkooporderProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.532";"Event";"InputGbrtnsMtVrkr.InputGbrtnsMtVrkrProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.531";"Event";"InputMachtiging.InputMachtigingProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.530";"Event";"InputAanmaning.InputAanmaningProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.530";"Event";"GbrtnsMtExtrnBrknng.GbrtnsMtExtrnBrknngProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.530";"Event";"FactuurRegelsDC.FactuurRegelsDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.529";"Event";"InputGbrtnsMtPlchldrs.InputGbrtnsMtPlchldrsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.529";"Event";"PlayerOverigRollen.PlayerOverigRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.528";"Event";"PlayerOrganisatieRollen.PlayerOrganisatieRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"70835fd3b85146e28b792043e0c1810c";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.528";"Event";"Machtiging.MachtigingProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.514";"Event";"KlantDC.KlantDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"FactuurRegelsDC.FactuurRegelsDCProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"InputVerkoopfactuur.InputVerkoopfactuurProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"PlayerOrganisatieRollen.PlayerOrganisatieRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"PlayerOverigRollen.PlayerOverigRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"GbrtnsMtExtrnBrknng.GbrtnsMtExtrnBrknngProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.507";"Event";"Verkooporder.VerkooporderProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.506";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.506";"Event";"InkomendeBetalingNietGedaan.InkomendeBetalingNietGedaanProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.506";"Event";"Machtiging.MachtigingProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.480";"Event";"PlayerOnbekendRollen.PlayerOnbekendRollenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.480";"Event";"InkomendeBetalingNietGedaan.InkomendeBetalingNietGedaanProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"70835fd3b85146e28b792043e0c1810c";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.479";"Event";"Calculations.GbrtnsMtExtrnBrknngBCalculationsProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.478";"Event";"VerliesNemen.VerliesNemenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.478";"Event";"Matrix.GbrtnsMtExtrnBrknngB_MtrxVrBtwTrfgrpProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.477";"Event";"InputHstrschVrkpfctr.InputHstrschVrkpfctrProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.476";"Event";"InputGbrtnsMtExtrnBrknng.InputGbrtnsMtExtrnBrknngProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.475";"Event";"MchtgngVrwrkngPrsnsg.MchtgngVrwrkngPrsnsgProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.473";"Event";"InputPakbon.InputPakbonProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.472";"Event";"Matrix.GbrtnsMtExtrnBrknngB_MtrxVrTypBtwTrnsctProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.472";"Event";"KlantDES.KlantDESProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.453";"Event";"KlantDES.KlantDESProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.453";"Event";"VerliesNemen.VerliesNemenProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"70835fd3b85146e28b792043e0c1810c";"Betaler.BetalerProcessManager";"Betaler.Sync_Event"
"May 20, 2021 @ 09:15:05.453";"Event";"Matrix.GbrtnsMtExtrnBrknngB_MtrxVrBtwTrfgrpProjector";"Afas.Runtime.Projector.Standard.StandardStreamProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
"May 20, 2021 @ 09:15:05.452";"Event";"MchtgngVrwrkngPrsnsg.MchtgngVrwrkngPrsnsgProjector";"Afas.Runtime.Projector.Standard.StandardQueryProjector, Afas.Runtime.Projector";"1af99c6c22094abdba93c2f8a1857894";"Klant.KlantProcessManager";"Klant.Sync_Event"
