source;target;message;trackingID;unknown
atm-terminal;terminal-proxy;printReceipt;id-1626254409599;1626254409599
terminal-proxy;bank-service;printReceipt;id-1626254409599;1626254409602
atm-terminal;terminal-proxy;authenticationRequest;id-1626254410878;1626254410878
terminal-proxy;bank-service;authenticationRequest;id-1626254410878;1626254410881
bank-service;auth-server;autenticationRequest;id-1626254410878;1626254410883
atm-terminal;terminal-proxy;checkBalance;id-1626254411347;1626254411347
terminal-proxy;bank-service;checkBalance;id-1626254411347;1626254411350
bank-service;balance-service;checkBalance;id-1626254411347;1626254411352
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254412916;1626254412916
terminal-proxy;bank-service;withdrawalRequest;id-1626254412916;1626254412919
bank-service;balance-service;withdrawalRequest;id-1626254412916;1626254412921
atm-terminal;terminal-proxy;printReceipt;id-1626254413872;1626254413872
terminal-proxy;bank-service;printReceipt;id-1626254413872;1626254413875
atm-terminal;terminal-proxy;authenticationRequest;id-1626254415089;1626254415089
terminal-proxy;bank-service;authenticationRequest;id-1626254415089;1626254415093
bank-service;auth-server;autenticationRequest;id-1626254415089;1626254415094
atm-terminal;terminal-proxy;checkBalance;id-1626254415594;1626254415594
terminal-proxy;bank-service;checkBalance;id-1626254415594;1626254415597
bank-service;balance-service;checkBalance;id-1626254415594;1626254415599
atm-terminal;terminal-proxy;depositRequest;id-1626254417085;1626254417085
terminal-proxy;bank-service;depositRequest;id-1626254417085;1626254417088
bank-service;balance-service;depositRequest;id-1626254417085;1626254417090
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254418355;1626254418355
terminal-proxy;bank-service;withdrawalRequest;id-1626254418355;1626254418358
bank-service;balance-service;withdrawalRequest;id-1626254418355;1626254418360
atm-terminal;terminal-proxy;printReceipt;id-1626254418798;1626254418798
terminal-proxy;bank-service;printReceipt;id-1626254418798;1626254418802
atm-terminal;terminal-proxy;authenticationRequest;id-1626254420153;1626254420153
terminal-proxy;bank-service;authenticationRequest;id-1626254420153;1626254420157
bank-service;auth-server;autenticationRequest;id-1626254420153;1626254420159
atm-terminal;terminal-proxy;checkBalance;id-1626254420554;1626254420554
terminal-proxy;bank-service;checkBalance;id-1626254420554;1626254420557
