Column1,Column2,Column3,Column4,Column5,Column6
"Jun 1, 2021 @ 09:07:19.239",Event,Dossier.DossierProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Dossier.NieuwDossier_Event
"Jun 1, 2021 @ 09:07:19.232",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.EndSync_Event
"Jun 1, 2021 @ 09:07:19.231",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.227",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.226",Event,Stream.Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.225",Event,Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.223",Event,Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.223",Event,Stream.Routing.Projector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:19.222",Event,ChainTest.ChainTestProjector,1591c4f35bb34cd3afdde3764d371fe8,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.StartSync_Event
"Jun 1, 2021 @ 09:07:05.758",Event,BusinessActivityApi.InkoopfactuurBetalingChainProjector,e839779de4c041fda1b2adc0e5e27015,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSaveStateEvent
"Jun 1, 2021 @ 09:07:05.756",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,BusinessActivityApi.InkoopfactuurBetalingChainProjector,BusinessActivityApi.InkoopfactuurBetalingSyncEvent
"Jun 1, 2021 @ 09:07:05.590",Event,BusinessActivityApi.DividenduitkeringBetalingChainProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.BetalingInitializedEvent
"Jun 1, 2021 @ 09:07:05.590",Event,BusinessActivityApi.BtwAfdrachtBetalingChainProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.BetalingInitializedEvent
"Jun 1, 2021 @ 09:07:05.590",Event,BetalingCollectDC.BetalingCollectDCProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:05.590",Event,ChainTest.ChainTestProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:05.590",Event,BetaalopdrachtDC.BetaalopdrachtDCProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
"Jun 1, 2021 @ 09:07:05.590",Event,UitgaandeBetalingAfletteren.UitgaandeBetalingAfletterenProjector,e839779de4c041fda1b2adc0e5e27015,Betaling.BetalingAggregateRoot,Betaling.Sync_Event
